Identifier,RG/MS Number,Collection Title,"Box, Folder, URL",Date,Subjects,People,Title,Item Description,Reviewed
band.nsp.0071,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-10-13/ed-1/seq-1/#words=band+Band+RALLY,1908-10-13,Events & Dances; Politics,-,Given Great Ovation: Great Commoner Receives Magnificent Tribute,"The Cadet Band plays at an event for presidential candidate, William Jennings Bryan.",
band.nsp.0072,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-10-13/ed-1/seq-1/#words=band+Band+RALLY,1908-10-13,Cheer & Pep; Sports,-,Will Run Excursion: Crowd to Go With Football Team to Minnesota,The Cadet Band will play at a rally before the team leaves for the Nebraska Vs. Minnesota football game.,
band.nsp.0073,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1905-10-19/ed-1/seq-1/#words=band+Cadet+rally+RALLY,1905-10-19,Cheer & Pep; Sports,-,Football Rally: Many Prominent Professors and Students to Speak,The Cadet Band plays at a send-off rally for the Nebraska football team before the game against Michigan.,
band.nsp.0074,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-11-05/ed-1/seq-1/#words=Band+band+RALLY+rally,1908-11-05,Cheer & Pep; Sports,-,Hold a Song Fest: Students Rally in Memorial Hall for Ames,The Cadet Band plays at a mulitiple rallies before a football game vs the Iowa Aggies from Ames. The game will be played in Omaha.,
band.nsp.0075,nebnewspapers,The Daily Nebraskan, https://nebnewspapers.unl.edu/lccn/sn96080312/1908-11-06/ed-1/seq-2/#words=band+Band+Cadet+rally+RALLY,1908-11-06,Cheer & Pep; Sports; Parade,-,Rally Again Today: Big Time Planned for Meeting at Antelope Park,The Cadet Band plays at a rally and parade in Lincoln before the Nebraska vs. Ames football game in Omaha.,
band.nsp.0076,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-11-11/ed-1/seq-1/#words=band+Rally+rally+RALLY,1908-11-11,Cheer & Pep; Sports,-,Grand Rally Thursday at 5: Will Be Held in Memorial Hall for Kansas Game,The band will play at a rally for the Nebraska vs. Kansas football game.,
band.nsp.0077,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-11-12/ed-1/seq-1/#words=band+rally+RALLY,1908-11-12,Cheer & Pep; Sports,-,Rally for the Big Game Today: Rooters to Prepare for Kansas in Memorial Hall,The band will play at a rally for the Nebraska vs. Kansas football game. The band will play new Jayhawker songs.,
band.nsp.0078,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1908-11-13/ed-1/seq-1/#words=band+Rally+RALLY+rally+rallys,1908-11-13,Cheer & Pep; Sports,-,Practice for Kansas: Big Rally Held in the Chapel Last Evening,"The Cadet Band plays at a rally, practicing songs and yells for football game against Kansas.",
band.nsp.0079,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-05-20/ed-1/seq-1/#words=cadet+rally,1909-05-20,Cheer & Pep; Sports,-,Big Rally Tomorrow: Purpose to Arouse Enthusiasm for Kansas Meet,The Cadet Band will play at a rally before the Nebraska vs. Kansas track meet.,
band.nsp.0080,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-05-21/ed-1/seq-1/#words=band+cadet+Rally+RALLY+rally,1909-05-21,Cheer & Pep; Sports,-,Already for Kansas: Cornhuskers in Good Shape for Games Tomorrow,The Cadet Band will play at a rally before the Nebraska vs. Kansas track meet.,
band.nsp.0081,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-10-14/ed-1/seq-3/#words=band+RALLY+rally+rallying,1909-10-14,Cheer & Pep; Sports; Parade,-,First Rally of the Year Held This Morning,The Cadet Band plays at a rally in Memorial Hall and will play in a parade in Omaha before the Nebraska vs. Minnesota football game. New songs and yells were printed in the previous day's Daily Nebraskan. (Continued from page 1),
band.nsp.0082,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-10-14/ed-1/seq-1/#words=band+cadet+Rally+RALLY+rally,1909-10-14,Cheer & Pep; Sports; Parade,-,First Rally of the Year Held This Morning,The Cadet Band plays at a rally in Memorial Hall and will play in a parade in Omaha before the Nebraska vs. Minnesota football game. New songs and yells were printed in the previous day's Daily Nebraskan. (Continued from on page 3),
band.nsp.0083,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-10-15/ed-1/seq-1/#words=band+Band+RALLY,1909-10-15,Cheer & Pep; Sports; Parade,-,Big Parade Feature in Omaha Tomorrow: Two Thousand Lincolnites Expected to March,The band will lead a parade In Omaha before the Nebraska vs. Minnesota football game. A special train is running from Lincoln to Omaha for the game.,
band.nsp.0084,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-10-21/ed-1/seq-2/#words=band+RALLY+rally,1909-10-21,Cheer & Pep; Sports,-,A Good Suggestion,"A letter to the editor suggests a scarlet and cream banner should be included in the band's halftime performances. Another article on the front page announces the second football rally, where the band will play.",
band.nsp.0085,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-10-22/ed-1/seq-4/#words=band+RALLY+rally,1909-10-22,Cheer & Pep; Sports,-,Big Rally Yesterday Morning: Both Men and Girls Turn Out Well to Cheer Team on to Iowa Game,The band plays at a rally in Memorial Hall before the upcoming Nebraska vs. Iowa football game.,
band.nsp.0086,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-11-03/ed-1/seq-4/#words=band+cadet+Rallies+Rally+rally,1909-11-03,Cheer & Pep; Sports; Parade,-,Songs for Jayhawkers is Request of Eager: Nebraska Manager Wants to Have Good Rooting,"Students are encourage to write verses set to popular music for the upcoming football game. A ""monster"" rally will be held and plans are being made to meet the Kansas team at the railroad station with the cadet band leading a parade uptown.",
band.nsp.0087,nebnewspapers,The Daily Nebraskan,https://nebnewspapers.unl.edu/lccn/sn96080312/1909-11-04/ed-1/seq-1/#words=band+cadet+Rally+RALLY+rally,1909-11-04,Cheer & Pep; Sports,"Stevens, Robert W.",Rally for Kansas in Memorial Hall at 11: Full Hour for Giving Team Final Send Off,"The Cadet Band will play at a rally before the Nebraska vs. Kansas football game. A new song composed by Professor Stevens of the school of music will be ""tried out.""",
